STITCH ID	Drug status	Phase	CGE	OGE	Network	Expression	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00002266	approved	Phase 4	-1.6886715738372884	0.754	0.4405276165914464	0.1851410545486013	188.22094	1.8863	2.0	4.0	74.6	0.0	0.0	8.0	48.9206	1.0	0.0	1.0	0.570178761696701
CIDs00002267	approved	Phase 4	-1.9106324076273715	1.0765714285714285	0.4513840186352197	0.37581596902213077	381.89846	4.2354	0.0	4.0	38.13	0.0	4.0	3.0	115.267	1.0	1.0	1.0	0.531808045314424
CIDs00002273	unapproved	Phase 3	-2.39791512831998	0.94	0.5272474574156112	0.2974005782765478	370.83774	3.6952	3.0	8.0	163.27	0.0	3.0	5.0	87.2878	1.0	0.0	0.0	0.611171595941156
CIDs00002284	approved	Phase 4	-2.218175270081829	1.3640000000000003	0.45803267882883536	0.35558264582669985	213.66078	2.5573	2.0	3.0	63.32	0.0	1.0	4.0	55.3182	1.0	0.0	1.0	0.808137112237057
CIDs00002294	approved	Phase 4	-2.072500252486118	1.3807272727272728	0.4194034593139229	0.2553745479438109	184.19248	0.8164	2.0	5.0	75.27	0.0	0.0	2.0	52.6184	1.0	0.0	1.0	0.621121712415427
CIDs00002315	approved	Phase 4	-2.180625925877441	0.919625	0.2912442284894241	0.35371641302733964	421.4145696	4.9541	3.0	7.0	135.12	0.0	2.0	4.0	96.8628	1.0	1.0	1.0	0.635101789579471
CIDs00002327	approved	Phase 4	-2.152818251329962	0.6869999999999999	0.28613605166281897	0.5298199264487193	257.2432	-0.2741	7.0	8.0	148.07	0.0	1.0	6.0	61.5706	0.0	0.0	0.0	0.271772953292298
CIDs00002330	approved	Phase 4	-1.9228347436397448	1.0619999999999998	0.509724797737152	0.4339762870286116	318.5597	6.574	0.0	0.0	0.0	1.0	1.0	14.0	105.8874	0.0	0.0	0.0	0.268521737683698
CIDs00002333	approved	Phase 4	-1.9656905269952625	0.8743999999999998	0.3529397475094112	0.2980958966594738	424.08338	5.4568	1.0	3.0	50.44	0.0	4.0	3.0	93.2845	0.0	1.0	1.0	0.445023145544197
CIDs00002337	approved	Phase 4	-2.158577618109492	0.982	0.5039565524843493	0.0326151512685694	165.18914	2.0267	1.0	3.0	52.32	0.0	1.0	3.0	46.9329	1.0	0.0	1.0	0.550320709950009
