STITCH ID	Smiles	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00004914	CCN(CC)CCOC(=O)c1ccc(N)cc1	236.3101	2.3486	1.0	4.0	55.56	0.0	1.0	7.0	69.0569	1.0	0.0	1.0	0.582937394677188
CIDs00004631	C=CCOc1ccccc1OCC(O)CNC(C)C	265.34802	2.38	2.0	4.0	50.72	0.0	1.0	9.0	76.5645	1.0	0.0	1.0	0.673093228132592
CIDs09825285	CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(O)n2)cc1	456.4501	4.6041	2.0	9.0	123.5	0.0	6.0	7.0	124.4913	1.0	1.0	1.0	0.354456273486468
CIDs00060789	Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1	317.37952	2.8402	5.0	5.0	92.95	0.0	2.0	8.0	89.9625	0.0	1.0	1.0	0.381246287123876
CIDs05287969	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	401.8402	3.2425	3.0	6.0	94.14	0.0	4.0	2.0	111.8358	1.0	1.0	1.0	0.477100160233381
CIDs00003388	CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	591.7708696	7.9405	0.0	5.0	61.32	0.0	2.0	17.0	172.266	0.0	0.0	0.0	0.138070911550459
CIDs11689883	COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1	401.4346632	3.0789	2.0	8.0	86.8	0.0	2.0	8.0	114.8724	1.0	1.0	1.0	0.697975988566224
CIDs25195495	Cc1nc(C(=O)N2CCCC[C@H]2CNC(=O)c2cccc3occc23)c(-c2ccc(F)cc2)s1	477.5504632	5.7573	1.0	7.0	103.68	0.0	5.0	7.0	133.6897	0.0	0.0	1.0	0.31785786620602
CIDs25062766	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	414.45978	3.50608	2.0	7.0	103.17	0.0	3.0	7.0	120.2909	1.0	1.0	1.0	0.570387630403378
CIDs00006047	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	197.18794	0.7525	4.0	5.0	103.78	0.0	1.0	3.0	49.5472	1.0	0.0	1.0	0.535175646083043
CIDs00004058	CCOC(=O)C1(c2ccccc2)CCN(C)CC1	247.33274	2.151	0.0	3.0	29.54	0.0	1.0	4.0	75.729	1.0	0.0	1.0	0.763536826508119
CIDs09794392	c1cnc2c(c1)C[C@@]1(CN3CCC1CC3)O2	216.27894	1.4188	0.0	3.0	25.36	0.0	1.0	0.0	65.044	1.0	0.0	1.0	0.655534429955591
CIDs11292933	Cc1ccc2c(N3CCN(CCc4cccc(N5CCNC5=O)c4)CC3)cccc2n1	415.53066	3.8342	1.0	6.0	51.71	0.0	4.0	5.0	139.4037	1.0	1.0	1.0	0.534640034477106
CIDs00003306	CCNCC(O)c1cccc(O)c1	181.2316	1.426	3.0	3.0	52.49	0.0	1.0	4.0	51.8155	1.0	0.0	1.0	0.658206666032024
CIDs00969472	CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1	388.80828	1.5088	0.0	9.0	91.76	0.0	2.0	4.0	106.9565	1.0	1.0	1.0	0.772103577989121
CIDs00129211	CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1	408.51172	4.5129	2.0	7.0	108.26	0.0	2.0	11.0	108.2361	1.0	1.0	0.0	0.526464235118433
CIDs00123619	Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1	358.8419	5.2567	0.0	4.0	68.3	0.0	3.0	3.0	95.974	0.0	1.0	1.0	0.640199656719512
CIDs09826744	CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1	487.4015	5.6064	1.0	6.0	82.51	0.0	3.0	6.0	135.9527	0.0	0.0	1.0	0.359822164485722
CIDs00001123	NCCS(=O)(=O)O	125.14688	0.614	2.0	4.0	88.77	0.0	0.0	2.0	24.9712	1.0	0.0	1.0	0.529038228268063
CIDs00171575	C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N	245.35992	3.8139	2.0	2.0	46.25	0.0	1.0	0.0	75.2154	1.0	0.0	1.0	0.729687427268307
CIDs00448281	CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O	428.30962	3.7137	3.0	7.0	104.45	0.0	2.0	10.0	107.7633	1.0	1.0	1.0	0.529975817376308
CIDs00000999	O=C([O-])Cc1ccccc1.[Na+]	160.14563	1.4262	2.0	2.0	37.3	0.0	1.0	2.0	39.0988	1.0	0.0	1.0	0.641900520898944
CIDs11667893	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21	373.45092	4.3281	3.0	6.0	78.94	0.0	3.0	6.0	114.6286	1.0	1.0	1.0	0.596899717002233
CIDs00039860	CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21	372.54084	6.264	1.0	3.0	46.53	0.0	1.0	6.0	112.887	0.0	0.0	1.0	0.599117943675144
CIDs00004409	COc1ccc2cc(CCC(C)=O)ccc2c1	228.28634	3.37	0.0	2.0	26.3	0.0	3.0	4.0	70.027	1.0	0.0	1.0	0.683994786566214
CIDs00003052	CCN(CC)C(=O)N1CCN(C)CC1	199.29324	0.5714	0.0	4.0	26.79	0.0	0.0	4.0	65.177	1.0	0.0	1.0	0.661234474406371
CIDs16005981	Cc1cc(/C(=C/Nc2ccc(Cl)cc2)C(=O)Nc2ccc(Cl)cc2)on1	388.2473	5.5275	2.0	5.0	67.16	0.0	3.0	6.0	104.2404	0.0	1.0	1.0	0.543964049190633
CIDs06324616	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	697.76858	4.8921	6.0	13.0	201.31	0.0	3.0	3.0	190.0308	0.0	0.0	0.0	0.122844095081562
CIDs00026879	c1ccc([C@H]2CN3CCSC3=N2)cc1	204.29138	1.5196	0.0	3.0	40.9	0.0	1.0	1.0	67.821	1.0	0.0	1.0	0.696093640296917
CIDs44224160	COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12	406.43778	3.803	3.0	8.0	131.42	0.0	6.0	4.0	112.4369	1.0	1.0	1.0	0.402701306701403
CIDs00027924	CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O	616.82504	5.7529	3.0	8.0	130.36	0.0	0.0	17.0	171.8714	0.0	0.0	0.0	0.10697492305123
CIDs00104762	NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O	259.21602	-2.0006	5.0	9.0	151.06	0.0	1.0	3.0	55.2913	0.0	0.0	0.0	0.414633120704555
CIDs05493444	COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC	551.75832	5.085	4.0	9.0	146.13	0.0	1.0	20.0	155.9423	0.0	0.0	0.0	0.162816787027384
CIDs25022353	CC(C)(C)OC[C@@H]1C(=O)NCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F	401.4232496	2.4729	2.0	6.0	84.66	0.0	1.0	8.0	104.6101	1.0	1.0	1.0	0.651361758811594
CIDs00001052	Cc1ncc(CO)c(CN)c1O	168.19308	0.7469	3.0	4.0	79.37	0.0	1.0	2.0	45.0272	1.0	0.0	1.0	0.60832586329775
CIDs06603820	Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2	267.32238	2.9765	3.0	3.0	52.49	0.0	2.0	0.0	81.9757	1.0	1.0	1.0	0.64316466086872
CIDs00001176	NC(N)=O	60.05526	0.4244	2.0	3.0	69.11	0.0	0.0	0.0	12.9248	1.0	0.0	1.0	0.425416592166326
CIDs05362118	NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O	405.48794	2.2643	4.0	8.0	132.96	0.0	1.0	13.0	112.6557	1.0	1.0	0.0	0.367379384146564
CIDs05281051	Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65	504.44324	5.3918	6.0	8.0	155.52	0.0	123.0	0.0	142.907	0.0	0.0	0.0	0.150164240061151
CIDs00004170	Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C	365.83454	4.6982	2.0	6.0	100.88	0.0	2.0	2.0	99.5896	1.0	1.0	1.0	0.799477556844433
CIDs00072301	COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2	355.4275	3.3144	0.0	5.0	40.16	0.0	2.0	4.0	103.992	1.0	1.0	1.0	0.841464078448361
CIDs11282283	S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1	447.50954	3.6952	1.0	9.0	107.98	0.0	7.0	5.0	131.5197	1.0	1.0	1.0	0.395148149840001
CIDs00151193	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	346.8129	5.0856	1.0	3.0	50.7	0.0	5.0	4.0	101.3397	0.0	1.0	1.0	0.493063571818789
CIDs00016230	N=C(N)NC(=O)c1nc(Cl)c(N)nc1N	229.62702	1.271	5.0	8.0	156.79	0.0	1.0	3.0	55.1451	0.0	0.0	0.0	0.382903621799184
CIDs00002153	Cn1c(=O)c2nc[nH]c2n(C)c1=O	180.16402	-1.0397	1.0	5.0	72.68	0.0	3.0	0.0	47.1377	1.0	0.0	1.0	0.478099781200254
CIDs00001023	O=P(O)(O)OP(=O)(O)O	177.975082	-0.8116	4.0	7.0	143.91	0.0	0.0	2.0	25.1732	1.0	0.0	0.0	0.404162623785422
CIDs00002355	COc1c2ccoc2cc2oc(=O)ccc12	216.18952	2.5478	0.0	4.0	52.58	0.0	6.0	1.0	58.748	1.0	0.0	1.0	0.396179213338516
CIDs00003447	CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1	321.37152	3.0031	2.0	7.0	117.0	0.0	1.0	11.0	87.1623	1.0	1.0	0.0	0.211372625654704
CIDs00443872	COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13	414.4914	3.1245	0.0	6.0	82.2	0.0	0.0	2.0	107.735	1.0	1.0	1.0	0.51005800053953
CIDs00060772	CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21	324.3357	0.4839	3.0	9.0	151.14	0.0	3.0	8.0	82.5415	1.0	0.0	0.0	0.396622392436977
CIDs00003339	CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1	360.83134	4.68	0.0	4.0	52.6	0.0	2.0	7.0	97.9835	1.0	1.0	1.0	0.53106495108046
CIDs16119082	CC(C)CNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1	350.4459264	4.0973	1.0	3.0	32.34	0.0	2.0	7.0	99.5347	1.0	1.0	1.0	0.815985045256064
CIDs00003748	CC(C)NNC(=O)c1ccncc1	179.21902	1.5062	2.0	4.0	54.02	0.0	1.0	4.0	49.6489	1.0	0.0	1.0	0.687701042884532
CIDs03035850	CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O	544.73079	1.5255	4.0	10.0	134.42	0.0	4.0	6.0	116.436	0.0	0.0	1.0	0.209074922280209
CIDs00004932	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	341.44398	3.6323	2.0	4.0	58.56	0.0	2.0	11.0	100.421	1.0	1.0	0.0	0.483927742672296
CIDs27885548	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12	444.43456	0.4859	6.0	10.0	181.62	0.0	1.0	2.0	110.2181	0.0	0.0	0.0	0.351101405633819
CIDs00107999	Cn1cc(C(=O)[C@@H]2CCc3nc[nH]c3C2)c2ccccc21	279.33638	2.8892	1.0	3.0	50.68	0.0	4.0	2.0	82.4932	1.0	1.0	1.0	0.573973311443555
CIDs11552706	Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1	383.4591432	4.646	2.0	5.0	71.09	0.0	2.0	8.0	107.0574	1.0	1.0	1.0	0.694487477232487
CIDs00003779	CC(C)NCC(O)c1ccc(O)c(O)c1	211.25758	1.5201	4.0	4.0	72.72	0.0	1.0	4.0	58.6455	1.0	0.0	1.0	0.56969561361942
