STITCH ID	Drug status	Phase	OGE_CGE	OGE	Expression	CGE	Network	Chemical	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs00000006	unapproved	Phase 1	0.733229486036839	0.2242365186012247	0.0345196078431372	0.3747254901960784	0.8291321234049175	0.4327480664488017	0.3968996031746032	0.482129248366013
CIDs00000040	unapproved	Phase 3	0.0133482866043613	0.199214953271028	0.1902803738317757	0.7151401869158878	0.0017757009345794	0.1721953513775944	0.30557492211838	0.4403551401869159
CIDs00000085	unapproved	Phase 3	0.7924845238095238	0.91084375	0.0196875	0.5105625	0.9636041666666668	0.7291381076388889	0.5111815600198413	0.4683541666666667
CIDs00000138	unapproved	Phase 1	0.6253392397109064	0.0755222222222222	0.2199222222222222	0.5435666666666666	0.3400111111111111	0.4699160582010582	0.5268767107251099	0.4291955555555555
CIDs00000174	approved	Phase 4	0.8422284029447851	0.7718532720690616	0.733	0.6628771929824562	0.8194736842105264	0.4130671052631579	0.7685192090286191	0.4786842105263157
CIDs00000175	approved	Phase 4	0.728219428780284	0.0275469298245614	0.8339736842105263	0.8153947368421053	0.975626148705096	0.6386581140350877	0.5674512189564821	0.5079736842105264
CIDs00000185	approved	Phase 4	0.6621794520547946	0.935051698491767	0.7325571911345884	0.6848219178082191	0.4581506849315068	0.552004761904762	0.819783583387693	0.636418493150685
CIDs00000187	approved	Phase 4	0.85964508994709	0.9085994603174602	0.7722666666666667	0.9703653968253968	0.3982133333333333	0.7554345238095238	0.638953507936508	0.7170933333333334
CIDs00000190	unapproved	Phase 3	0.5278627450980392	0.5388258053221289	0.2723823529411764	0.0458137254901961	0.6012352941176471	0.4244680711173358	0.2739526143790849	0.4697218954248366
CIDs00000237	unapproved	Phase 2	0.440340206185567	0.9126084192439862	0.6951958762886598	0.5100721649484536	0.93380412371134	0.4189656357388315	0.5606896907216494	0.3985154639175257
CIDs00000244	approved	Phase 4	0.5423403273809524	0.5599885526895944	0.5306527777777778	0.6789305555555556	0.0190972222222222	0.6477288690476191	0.5204852322640208	0.6028101851851851
CIDs00000247	approved	Phase 4	0.1379757119803273	0.4243368355382518	0.1122153846153846	0.476	0.8277846153846153	0.4107732967032967	0.4855376577695808	0.5573274725274725
CIDs00000280	unapproved	Phase 3	0.5515549828178694	0.8345850638193422	0.5610309278350516	0.9665051546391752	0.9982164948453608	0.8516972385861562	0.3047323883161512	0.6506855670103093
CIDs00000311	approved	Phase 4	0.4837777777777778	0.7504451554232804	0.3056805555555555	0.1819722222222222	0.9705694444444444	0.6091138447971782	0.4849055074555075	0.4200312499999999
CIDs00000359	approved	Phase 4	0.8132149628524629	0.0741621621621621	0.0594189189189189	0.7368783783783783	0.910918918918919	0.741263803088803	0.7249505391915608	0.5601846846846846
CIDs00000370	unapproved	Phase 2	0.4450761904761904	0.7776761904761905	0.0138285714285714	0.3821428571428571	0.0765238095238095	0.5692554535147393	0.2964265079365079	0.4466969387755102
CIDs00000379	unapproved	Phase 2	0.6408239795918368	0.1456420068027211	0.4465612244897959	0.385234693877551	0.914438775510204	0.5190678004535147	0.314847619047619	0.5290426870748299
CIDs00000444	approved	Phase 4	0.7538118686868688	0.9649883526826708	0.5924090909090909	0.3295909090909091	0.9818611111111112	0.6031002284752285	0.7125108585858586	0.7138787878787879
CIDs00000457	unapproved	Phase 2	0.5936581879616534	0.6581079207920792	0.3867623762376237	0.226069306930693	0.6776831683168316	0.7571360678925035	0.5745395687345823	0.7215011551155116
CIDs00000460	unapproved	Phase 3	0.3270904618340843	0.1891530612244898	0.1856122448979591	0.6029977543997952	0.9343424927113704	0.8722587949465501	0.4139486847902664	0.55025
CIDs00000525	approved	Phase 4	0.6657693438408228	0.7552314386317908	0.2368450704225352	0.4387887323943662	0.4029540576794098	0.1610071326951608	0.4164091696644513	0.2539906103286385
CIDs00000588	unapproved	Phase 3	0.5581028522294699	0.6854035154061624	0.3847647058823529	0.2313490196078431	0.7572470588235294	0.4363357609710551	0.623340294117647	0.5484676470588234
CIDs00000597	unapproved	Phase 2	0.7238252074314574	0.927625	0.0071068587662337	0.2462045454545454	0.0168636363636363	0.6354459145021645	0.3714979191263282	0.4678172348484848
CIDs00000598	approved	Phase 4	0.5539142857142857	0.567696749520321	0.0774857142857142	0.1954571428571428	0.3873714285714286	0.6985091836734695	0.3297443251193251	0.4566380952380952
CIDs00000602	unapproved	Phase 3	0.1699536081716637	0.935138888888889	0.0988518518518518	0.1505511721046443	0.3862314814814815	0.4894760949441505	0.4826570987654321	0.5122986111111111
CIDs00000612	approved	Phase 4	0.6967804708576447	0.3291439984733463	0.0073043478260869	0.9749565217391304	0.0227536231884058	0.1427978260869565	0.5679016218081436	0.3751304347826087
CIDs00000670	approved	Phase 4	0.6104491680949736	0.0417949493571782	0.1584810924369747	0.4525176470588235	0.7394352941176471	0.3897584733893557	0.5303608968834281	0.4147176470588235
CIDs00000679	approved	Phase 4	0.8398559670781893	0.6335432098765432	0.2980987654320988	0.2505925925925926	0.9809382716049384	0.4290165490887713	0.744745061728395	0.635320987654321
CIDs00000681	approved	Phase 4	0.7941028672032193	0.9385042253521126	0.8222816901408451	0.998450704225352	0.7731830985915493	0.6621636820925553	0.841844716590139	0.7634393695506372
CIDs00000702	approved	Phase 4	0.5594895430205671	0.990975903614458	0.3753975903614457	0.8257158557291611	0.8182168674698794	0.8493006024096386	0.7352705201759419	0.7555542168674698
